no,store,sku,cat_code,cat_name,material_name,count_name,quantity,cost,price_avg
907,MAIN,ALQ160041S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 F.Royal Blue (S),ใบ,"2,550","2,054.53",0.8057
908,MAIN,ALQ160050S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 F.Lilac (S),ใบ,"2,360","1,901.45",0.8057
909,MAIN,ALQ160051S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 F.Violet (S),ใบ,"2,650","2,135.11",0.8057
910,MAIN,ALQ160060S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 F.Peach (S),ใบ,"1,600","1,289.12",0.8057
911,MAIN,ALQ160061S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 F.Orange (S),ใบ,"2,200","1,772.54",0.8057
912,MAIN,ALQ160074S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 F.Coffee (S),ใบ,"2,400","1,933.68",0.8057
913,MAIN,ALQ160075S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 F.Caramel (S),ใบ,400,322.28,0.8057
914,MAIN,ALQ160076S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 F.Chocolate (S),ใบ,"1,950","1,532.01",0.7856
915,MAIN,ALQ160080S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 F.Black (S),ใบ,107,68.91,0.644
916,MAIN,ALQ160109S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 F.Pastel Pink (S),ใบ,850,684.84,0.8057
917,MAIN,ALQ160172S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 F.Pastel Toffee Mocha (S),ใบ,452,364.18,0.8057
918,MAIN,ALQ160173S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 F.Pastel Ivory (S),ใบ,"2,750","2,176.80",0.7916
919,MAIN,ALQ160390S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 C.Clear (S),ใบ,50,98.13,1.9626
920,MAIN,ALQ160405S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 S.White (S),ใบ,150,126.4,0.8427
921,MAIN,ALQ160409S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 S.Pink (S),ใบ,"2,100","1,786.04",0.8505
922,MAIN,ALQ160431S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 S.Lime Green (S),ใบ,300,255.15,0.8505
923,MAIN,ALQ160440S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 S.Blue (S),ใบ,"3,250","3,254.07",1.0013
924,MAIN,ALQ160450S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 S.Lilac (S),ใบ,"2,600","2,211.30",0.8505
925,MAIN,ALQ160481S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 S.Silver (S),ใบ,"1,850","1,570.89",0.8491
926,MAIN,ALQ160500S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 M.Assorted (S),ใบ,200,162.27,0.8114
927,MAIN,ALQ160512S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 M.Fuchsia (S),ใบ,"2,600","2,211.30",0.8505
928,MAIN,ALQ160515S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 M.Red (S),ใบ,"2,150","1,828.57",0.8505
929,MAIN,ALQ160520S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 M.Yellow (S),ใบ,"2,300","1,956.14",0.8505
930,MAIN,ALQ160530S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 M.Green (S),ใบ,"2,400","2,041.20",0.8505
931,MAIN,ALQ160531S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 M.Lime Green (S),ใบ,"2,650","2,253.82",0.8505
932,MAIN,ALQ160540S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 M.Blue (S),ใบ,"2,400","2,041.19",0.8505
933,MAIN,ALQ160551S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 M.Violet (S),ใบ,"2,600","2,211.30",0.8505
934,MAIN,ALQ160561S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 M.Orange (S),ใบ,"2,750","2,338.87",0.8505
935,MAIN,ALQ160570S0,2BL,SEMPERTEX,ลูกโป่งยาง 160 M.Gold R (S),ใบ,"1,850","1,573.43",0.8505
949,MAIN,ALQ260000S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Assorted (S),ใบ,50,41.1,0.822
950,MAIN,ALQ260001S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Pastel Assorted (S),ใบ,2,0.37,0.185
952,MAIN,ALQ260005S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.White (S),ใบ,"2,798","3,869.78",1.3831
954,MAIN,ALQ260009S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Pink (S),ใบ,"2,248","3,123.85",1.3896
956,MAIN,ALQ260012S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Fuchsia (S),ใบ,"2,435","3,315.31",1.3615
957,MAIN,ALQ260015S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Red (S),ใบ,"2,649","3,783.93",1.4284
958,MAIN,ALQ260020S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Yellow (S),ใบ,"2,588","3,501.64",1.353
959,MAIN,ALQ260021S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Goldenrod (S),ใบ,"1,341",467.23,0.3484
960,MAIN,ALQ260022S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F. Mango (S),ใบ,352,105.33,0.2992
961,MAIN,ALQ260028S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Jade (S),ใบ,,,
962,MAIN,ALQ260030S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Green (S),ใบ,62,150.49,2.4273
963,MAIN,ALQ260031S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Lime Green (S),ใบ,"2,362","3,346.51",1.4168
964,MAIN,ALQ260032S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Forest Green (S),ใบ,"3,050","4,380.03",1.4361
965,MAIN,ALQ260036S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Turquoise Green (S),ใบ,152,448.94,2.9536
967,MAIN,ALQ260038S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Carribean Blue (S),ใบ,500,"1,738.42",3.4768
968,MAIN,ALQ260039S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Light Blue (S),ใบ,"2,500","3,449.63",1.3799
969,MAIN,ALQ260040S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Blue (S),ใบ,3,2.42,0.8067
970,MAIN,ALQ260041S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Royal Blue (S),ใบ,852,687.27,0.8067
971,MAIN,ALQ260042S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Periwinkle (S),ใบ,500,"1,721.02",3.442
973,MAIN,ALQ260050S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Lilac (S),ใบ,933,849.66,0.9107
975,MAIN,ALQ260051S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Violet (S),ใบ,"1,668","1,364.70",0.8182
976,MAIN,ALQ260060S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Peach (S),ใบ,"1,981","1,796.62",0.9069
978,MAIN,ALQ260061S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Orange (S),ใบ,356,262.36,0.737
979,MAIN,ALQ260074S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Coffee (S),ใบ,"1,273","2,140.88",1.6818
980,MAIN,ALQ260075S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Caramel (S),ใบ,"1,550","5,434.61",3.5062
981,MAIN,ALQ260076S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Chocolate (S),ใบ,"2,264","3,923.28",1.7329
983,MAIN,ALQ260080S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Black (S),ใบ,"3,317","4,424.99",1.334
984,MAIN,ALQ260081S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Grey (S),ใบ,937,"3,237.66",3.4553
985,MAIN,ALQ260172S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Pastel Yoffee Mocha (S),ใบ,310,"1,086.93",3.5062
986,MAIN,ALQ260173S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 F.Pastel Ivory (S),ใบ,400,114.3,0.2858
987,MAIN,ALQ260200S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 Neon Assorted (S),ใบ,"2,500","2,556.24",1.0225
988,MAIN,ALQ260209S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 Neon Pink (S),ใบ,"2,350","1,802.85",0.7672
989,MAIN,ALQ260212S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 Neon Magenta (S),ใบ,"2,920","2,985.70",1.0225
990,MAIN,ALQ260220S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 Neon Yellow (S),ใบ,"2,650","2,709.62",1.0225
991,MAIN,ALQ260230S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 Neon Green (S),ใบ,"2,150","1,651.31",0.7681
992,MAIN,ALQ260240S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 Neon Blue (S),ใบ,"2,700","2,760.77",1.0225
993,MAIN,ALQ260251S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 Neon Violet (S),ใบ,"2,450","1,881.73",0.7681
994,MAIN,ALQ260261S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 Neon Orange (S),ใบ,"1,800","2,255.94",1.2533
995,MAIN,ALQ260300S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 C.Assorted (S),ใบ,370,542.72,1.4668
996,MAIN,ALQ260312S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 C.Fuchsia (S),ใบ,"1,450","1,427.96",0.9848
997,MAIN,ALQ260315S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 C.Red (S),ใบ,346,182.34,0.527
998,MAIN,ALQ260320S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 C.Yellow (S),ใบ,"1,414","1,392.51",0.9848
999,MAIN,ALQ260330S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 C.Green (S),ใบ,"1,431","1,408.77",0.9845
1000,MAIN,ALQ260340S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 C.Blue (S),ใบ,"1,800","1,772.64",0.9848
1001,MAIN,ALQ260351S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 C.Violet (S),ใบ,"1,200","1,181.76",0.9848
1002,MAIN,ALQ260361S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 C.Orange (S),ใบ,"1,600","1,546.72",0.9667
1003,MAIN,ALQ260390S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 C.Clear (S),ใบ,21,6.56,0.3124
1004,MAIN,ALQ260400S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 S.Assorted (S),ใบ,7,6.86,0.98
1005,MAIN,ALQ260405S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 S.White (S),ใบ,1,0.94,0.94
1006,MAIN,ALQ260406S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 S.Pearls Pearl (S),ใบ,"2,300","8,721.37",3.7919
1007,MAIN,ALQ260409S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 S.Bubblegum (S),ใบ,645,458.42,0.7107
1008,MAIN,ALQ260412S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 S.Pearls Fuchsia (S),ใบ,850,"3,118.48",3.6688
1009,MAIN,ALQ260420S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 S.Yellow (S),ใบ,"1,250","1,181.76",0.9454
1010,MAIN,ALQ260430S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 S.Peaels Green (S),ใบ,500,"1,895.95",3.7919
1011,MAIN,ALQ260431S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 S.Lime Green (S),ใบ,"1,095","1,078.36",0.9848
1012,MAIN,ALQ260438S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 S.Caribbean Blue (S),ใบ,100,98.47,0.9847
1013,MAIN,ALQ260440S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 S.Blue (S),ใบ,49,66.42,1.3555
1014,MAIN,ALQ260450S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 S.Lilac (S),ใบ,"1,205","1,186.69",0.9848
1015,MAIN,ALQ260481S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 S.Silver (S),ใบ,"2,370","3,354.13",1.4152
1016,MAIN,ALQ260500S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 M.Assorted (S),ใบ,,,
1017,MAIN,ALQ260512S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 M.Fuchsia (S),ใบ,"1,154",955.06,0.8276
1018,MAIN,ALQ260515S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 M.Red (S),ใบ,,,
1019,MAIN,ALQ260518S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 M.Pearls Burgundy (S),ใบ,200,466.41,2.3321
1020,MAIN,ALQ260520S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 M.Yellow (S),ใบ,,,
1021,MAIN,ALQ260530S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 M.Green (S),ใบ,23,22.61,0.983
1022,MAIN,ALQ260531S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 M.LimeGreen (S),ใบ,2,1.97,0.985
1023,MAIN,ALQ260532S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 M.Forest Green (S),ใบ,"2,548","2,213.31",0.8686
1024,MAIN,ALQ260540S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 M.Blue (S),ใบ,711,620.78,0.8731
1025,MAIN,ALQ260551S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 M.Violet (S),ใบ,985,970.01,0.9848
1026,MAIN,ALQ260561S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 M.Orange (S),ใบ,241,186.52,0.7739
1027,MAIN,ALQ260570S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 M.Gold R (S),ใบ,"2,406","3,431.32",1.4262
1028,MAIN,ALQ260576S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 M.Chocolate (S),ใบ,"1,889","1,860.12",0.9847
1029,MAIN,ALQ260580S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 M.Black (S),ใบ,556,479.51,0.8624
1034,MAIN,ALQ260P01S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 2PS Bold Star (white) F.Assorted (S),ใบ,"4,600","16,884.76",3.6706
1036,MAIN,ALQ260P02S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 2PS Happy Birthday (white) F.Assorted (S),ใบ,"4,350","15,967.02",3.6706
1037,MAIN,ALQ260P03S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 2PS Polka Dots (white) F.Assorted (S),ใบ,"3,838","14,086.28",3.6702
1038,MAIN,ALQ260P04S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 2PS Selva (Black) F.Assorted (S),ใบ,"4,350","15,955.20",3.6679
1039,MAIN,ALQ260P05S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 2PS Zebra (S),ใบ,150,943.04,6.2869
1040,MAIN,ALQ260P61S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 2PS Tiger (S),ใบ,150,943.04,6.2869
1041,MAIN,ALQ260P72S0,2BL,SEMPERTEX,ลูกโป่งยาง 260 2PS Leopard (S),ใบ,150,943.04,6.2869
1074,MAIN,ALQ360000S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 F.Assorted (S),ใบ,"1,650","2,660.60",1.6125
1075,MAIN,ALQ360005S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 F.White (S),ใบ,"4,340","8,997.42",2.0731
1076,MAIN,ALQ360009S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 F.Pink (S),ใบ,"1,543","2,512.43",1.6283
1077,MAIN,ALQ360012S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 F.Fuchsia (S),ใบ,"1,625","2,502.68",1.5401
1078,MAIN,ALQ360015S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 F.Red (S),ใบ,871,"1,352.70",1.553
1079,MAIN,ALQ360020S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 F.Yellow (S),ใบ,"1,267","1,969.05",1.5541
1080,MAIN,ALQ360030S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 F.Solid Green (S),ใบ,550,195.89,0.3562
1081,MAIN,ALQ360031S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 F.Lime Green (S),ใบ,"1,525","2,393.67",1.5696
1082,MAIN,ALQ360032S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 F.Forest Green (S),ใบ,805,"1,195.28",1.4848
1083,MAIN,ALQ360040S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 F.Blue (S),ใบ,"1,845","2,799.42",1.5173
1084,MAIN,ALQ360041S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 F.Royal Blue (S),ใบ,"2,437","4,005.02",1.6434
1085,MAIN,ALQ360050S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 F.Lilac (S),ใบ,"2,950","4,829.29",1.637
1086,MAIN,ALQ360051S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 F.Violet (S),ใบ,"1,294","2,207.54",1.706
1087,MAIN,ALQ360060S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 F.Peach (S),ใบ,"1,319","3,220.16",2.4414
1088,MAIN,ALQ360061S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 F.Orange (S),ใบ,"1,920","3,005.60",1.5654
1089,MAIN,ALQ360074S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 F.Coffee (S),ใบ,"2,545","4,381.52",1.7216
1090,MAIN,ALQ360075S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 F.Caramel (S),ใบ,"1,135","6,412.07",5.6494
1091,MAIN,ALQ360080S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 F.Black (S),ใบ,"3,492","8,014.86",2.2952
1092,MAIN,ALQ360390S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 C.Clear (S),ใบ,860,"1,481.97",1.7232
1093,MAIN,ALQ360500S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 M.Assorted (S),ใบ,600,"1,027.02",1.7117
1094,MAIN,ALQ360512S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 M.Fuchsia (S),ใบ,"1,000","1,713.71",1.7137
1095,MAIN,ALQ360515S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 M.Red (S),ใบ,"1,050","1,819.24",1.7326
1096,MAIN,ALQ360520S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 M.Yellow (S),ใบ,"1,050","1,834.74",1.7474
1097,MAIN,ALQ360530S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 M.Green (S),ใบ,909,"1,586.94",1.7458
1098,MAIN,ALQ360540S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 M.Blue (S),ใบ,"1,000","1,745.80",1.7458
1099,MAIN,ALQ360551S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 M.Violet (S),ใบ,"1,300","2,269.92",1.7461
1100,MAIN,ALQ360561S0,2BL,SEMPERTEX,ลูกโป่งยาง 360 M.Orange (S),ใบ,"1,109","1,936.11",1.7458
1110,MAIN,ALR005000S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" F.Assorted (S)",ใบ,960,857.96,0.8937
1111,MAIN,ALR005001S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" F.Pastel Assorted (S)",ใบ,300,351.73,1.1724
1112,MAIN,ALR005005S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" F.White (S)",ใบ,36,34.05,0.9458
1113,MAIN,ALR005009S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" F.Pink (S)",ใบ,377,213.61,0.5666
1114,MAIN,ALR005012S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" F.Fuchsia (S)",ใบ,192,73.81,0.3844
1115,MAIN,ALR005015S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" F.Red (S)",ใบ,63,39.95,0.6341
1116,MAIN,ALR005020S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" F.Yellow (S)",ใบ,"2,815","1,782.49",0.6332
1117,MAIN,ALR005021S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" F.Goldenrod (S)",ใบ,"1,204",155.3,0.129
1118,MAIN,ALR005028S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" F.Jade (S)",ใบ,602,350.72,0.5826
1119,MAIN,ALR005030S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" F.Green (S)",ใบ,329,191.69,0.5826
1120,MAIN,ALR005031S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" F.Lime Green (S)",ใบ,950,380.4,0.4004
1121,MAIN,ALR005032S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" F.Forest Green (S)",ใบ,"5,126","2,932.82",0.5721
1122,MAIN,ALR005040S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" F.Blue (S)",ใบ,"1,115",667.04,0.5982
1123,MAIN,ALR005041S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" F.Royal Blue (S)",ใบ,"4,138","2,407.47",0.5818
1124,MAIN,ALR005050S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" F.Lilac (S)",ใบ,"4,191","2,374.60",0.5666
1125,MAIN,ALR005051S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" F.Violet (S)",ใบ,"2,231","1,397.83",0.6265
1126,MAIN,ALR005060S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" F.Peach (S)",ใบ,"2,747","2,064.62",0.7516
1127,MAIN,ALR005061S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" F.Orange (S)",ใบ,276,198.05,0.7176
1128,MAIN,ALR005074S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" F.Coffee (S)",ใบ,396,118.21,0.2985
1129,MAIN,ALR005076S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" F.Chocolate (S)",ใบ,"2,450","1,425.23",0.5817
1130,MAIN,ALR005080S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" F.Black (S)",ใบ,"3,350","1,891.09",0.5645
1131,MAIN,ALR005173S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" F.Pastel Ivory (S)",ใบ,350,156.98,0.4485
1132,MAIN,ALR005312S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" C.Fuchsia (S)",ใบ,930,599.47,0.6446
1133,MAIN,ALR005315S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" C.Red (S)",ใบ,"2,145","1,381.98",0.6443
1134,MAIN,ALR005320S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" C.Yellow (S)",ใบ,"2,551","1,644.38",0.6446
1135,MAIN,ALR005330S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" C.Green (S)",ใบ,"4,057","2,615.13",0.6446
1136,MAIN,ALR005340S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" C.Blue (S)",ใบ,"3,301","2,127.82",0.6446
1137,MAIN,ALR005351S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" C.Violet (S)",ใบ,"3,562","2,296.07",0.6446
1138,MAIN,ALR005361S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" C.Orange (S)",ใบ,"3,106","2,002.11",0.6446
1139,MAIN,ALR005390S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" C.Clear (S)",ใบ,"2,520","1,544.50",0.6129
1140,MAIN,ALR005400S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" S.Assorted (S)",ใบ,"14,401","10,963.32",0.7613
1141,MAIN,ALR005405S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" S.White (S)",ใบ,"8,301","6,319.03",0.7612
1142,MAIN,ALR005409S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" S.Bubblegum (S)",ใบ,19,9.12,0.48
1143,MAIN,ALR005412S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" S. Fuchsia (S)",ใบ,457,247.21,0.5409
1144,MAIN,ALR005420S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" S.Yellow (S)",ใบ,"4,156","2,614.80",0.6292
1145,MAIN,ALR005431S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" S.Lime Green (S)",ใบ,169,107.16,0.6341
1146,MAIN,ALR005438S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" S.Caribbean Blue (S)",ใบ,"1,558",941.5,0.6043
1147,MAIN,ALR005440S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" S.Blue (S)",ใบ,240,111.16,0.4632
1148,MAIN,ALR005450S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" S.Lilac (S)",ใบ,"3,811","2,899.79",0.7609
1149,MAIN,ALR005460S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" S.Peach (S)",ใบ,"3,693","2,782.47",0.7534
1150,MAIN,ALR005481S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" S.Silver (S)",ใบ,"4,885","2,519.94",0.5159
1151,MAIN,ALR005500S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" M.Assorted (S)",ใบ,"14,818","11,256.68",0.7597
1152,MAIN,ALR005512S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" M.Fuchsia (S)",ใบ,"3,239","1,997.77",0.6168
1153,MAIN,ALR005515S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" M.Red (S)",ใบ,201,106.26,0.5287
1154,MAIN,ALR005520S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" M.Yellow (S)",ใบ,"4,915","3,095.03",0.6297
1155,MAIN,ALR005530S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" M.Green (S)",ใบ,505,260.61,0.5161
1156,MAIN,ALR005531S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" M.Lime Green (S)",ใบ,"7,110","4,350.76",0.6119
1157,MAIN,ALR005532S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" M.Forest Green (S)",ใบ,"18,761","11,692.47",0.6232
1158,MAIN,ALR005540S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" M.Blue (S)",ใบ,50,,
1159,MAIN,ALR005551S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" M.Violet (S)",ใบ,"4,898","2,963.82",0.6051
1160,MAIN,ALR005561S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" M.Orange (S)",ใบ,250,29.1,0.1164
1161,MAIN,ALR005570S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" M.Gold R (S)",ใบ,"4,616","2,826.36",0.6123
1162,MAIN,ALR005576S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" M.Chocolate (S)",ใบ,"2,684","1,730.10",0.6446
1163,MAIN,ALR005580S0,2BL,SEMPERTEX,"ลูกโป่งยางกลม 5"" M.Black (S)",ใบ,812,219.99,0.2709
