no,store,sku,cat_code,cat_name,material_name,count_name,quantity,cost,price_avg
1723,MAIN,ASPRD20E000,2PVC,BALLOONSERV,บอลลูนกลม 2m สีเหลือง,ใบ,4,"4,218.56","1,054.64"
1724,MAIN,ASPRD20F000,2PVC,BALLOONSERV,บอลลูนกลม 2m สีส้ม,ใบ,7,"7,382.48","1,054.64"
1725,MAIN,ASPRD20G000,2PVC,BALLOONSERV,บอลลูนกลม 2m สีน้ำเงิน,ใบ,,,
1726,MAIN,ASPRD20I000,2PVC,BALLOONSERV,บอลลูนกลม 2m สีขาว,ใบ,9,"24,949.86","2,772.21"
1727,MAIN,ASPRD20J000,2PVC,BALLOONSERV,บอลลูนกลม 2m สีม่วง,ใบ,11,"11,601.04","1,054.64"
1728,MAIN,ASPRD20K000,2PVC,BALLOONSERV,บอลลูนกลม 2m สีเงิน,ใบ,5,"5,273.20","1,054.64"
1729,MAIN,ASPRD20L000,2PVC,BALLOONSERV,บอลลูนกลม 2m สีทอง,ใบ,3,"3,163.92","1,054.64"
1730,MAIN,ASPRD30B000,2PVC,BALLOONSERV,บอลลูนกลม 3m สีชมพู,ใบ,7,"7,520.22","1,074.32"
1731,MAIN,ASPRD30C000,2PVC,BALLOONSERV,บอลลูนกลม 3m สีฟ้า,ใบ,10,"10,743.70","1,074.37"
1732,MAIN,ASPRD30D000,2PVC,BALLOONSERV,บอลลูนกลม 3m สีเขียวอ่อน,ใบ,17,"18,264.29","1,074.37"
1733,MAIN,ASPRD30E000,2PVC,BALLOONSERV,บอลลูนกลม 3m สีเหลือง,ใบ,15,"25,560.00","1,704.00"
1734,MAIN,ASPRD30F000,2PVC,BALLOONSERV,บอลลูนกลม 3m สีส้ม,ใบ,1,"1,074.37","1,074.37"
1735,MAIN,ASPRD30G000,2PVC,BALLOONSERV,บอลลูนกลม 3m สีน้ำเงิน,ใบ,6,"6,446.22","1,074.37"
1736,MAIN,ASPRD30H000,2PVC,BALLOONSERV,บอลลูนกลม 3m สีเขียว,ใบ,5,"8,170.00","1,634.00"
